signal_key,pair,first_seen,start_time,open_q1,open_vig,open_dec1,open_dec2,open_n_books,open_source
aleksandar rakic|marcin tybura|2026-08-01,aleksandar rakic|marcin tybura,2026-07-26 21:52:02.010534+00:00,2026-08-01 18:45:00+00:00,0.743183817062445,0.03835616438356171,1.2958579881656804,3.75,1,pinnacle
alexander poppeck|jovan leka|2026-08-01,alexander poppeck|jovan leka,2026-07-26 21:52:02.010534+00:00,2026-08-01 14:30:00+00:00,0.335717413516275,0.03787304953794868,2.87,1.4504504504504505,1,pinnacle
alexia thainara|amanda lemos|2026-08-08,alexia thainara|amanda lemos,2026-07-31 15:30:13.704740+00:00,2026-08-08 21:00:00+00:00,0.6472561151911178,0.038431513841349796,1.4878048780487805,2.73,1,pinnacle
billy quarantillo|diego ferreira|2026-08-08,billy quarantillo|diego ferreira,2026-07-31 15:30:13.704740+00:00,2026-08-08 21:00:00+00:00,0.4045957131385509,0.03848867791391353,2.38,1.617283950617284,1,pinnacle
billy ray goff|ty miller|2026-08-08,billy ray goff|ty miller,2026-07-31 15:30:13.704740+00:00,2026-08-08 21:00:00+00:00,0.2873670460906886,0.03876720294630731,3.35,1.3508771929824561,1,pinnacle
bogdan grad|dennis buzukia|unknown,bogdan grad|dennis buzukia,2026-07-27 19:09:21.183156+00:00,,0.6294940006342955,0.050403556948024786,1.5124321793494726,2.5699999999999994,5,retail_consensus
bogdan grad|dennis buzukja|2026-08-01,bogdan grad|dennis buzukja,2026-07-26 21:52:02.010534+00:00,2026-08-01 15:40:00+00:00,0.6130847696095674,0.037970062066447596,1.5714285714285714,2.49,1,pinnacle
borislav nikolic|mark vologdin|2026-08-01,borislav nikolic|mark vologdin,2026-07-27 18:32:49.773263+00:00,2026-08-01 16:00:00+00:00,0.6192548273048681,0.03811405985319016,1.5555555555555556,2.5300000000000002,1,pinnacle
bruno lopes|diyar nurgozhay|2026-08-08,bruno lopes|diyar nurgozhay,2026-07-31 15:30:13.704740+00:00,2026-08-08 21:00:00+00:00,0.42058345481660214,0.03827484820543159,2.29,1.6622516556291391,1,pinnacle
charles johnson|jose ochoa|2026-08-15,charles johnson|jose ochoa,2026-08-04 16:15:53.969218+00:00,2026-08-15 21:00:00+00:00,0.2775850104094379,0.03818443804034577,3.47,1.3333333333333333,1,pinnacle
chidi njokuani|joel alvarez|unknown,chidi njokuani|joel alvarez,2026-08-04 22:28:00.509539+00:00,,0.32579625577437393,0.040475588160890474,2.95,1.425531914893617,1,retail_consensus
daniel rodriguez|uros medic|2026-08-01,daniel rodriguez|uros medic,2026-07-26 21:52:02.010534+00:00,2026-08-01 19:45:00+00:00,0.24689365822172024,0.03854533266297966,3.9,1.2785515320334262,1,pinnacle
darren elkins|yadier del valle|2026-08-08,darren elkins|yadier del valle,2026-07-31 15:30:13.704740+00:00,2026-08-08 21:00:00+00:00,0.1851851851851852,0.038461538461538325,5.2,1.1818181818181819,1,pinnacle
donte johnson|eric mcconico|2026-08-15,donte johnson|eric mcconico,2026-08-04 16:15:53.969218+00:00,2026-08-15 21:00:00+00:00,0.6875000000000001,0.03896103896103886,1.4,3.08,1,pinnacle
