signal_key,scored_at,event_start,f1,f2,selected_fighter,selected_side,tier,counts_prospective,discovery_lag_h,open_q_sel,entry_q_sel,entry_consensus_dec,best_dec,best_book,min_acceptable_dec,min_acceptable_amer,actionable_now,p_market,ev_entry,steam_prob,pred_clv_pp,stake_fraction,open_n_books,open_source,fighters_matched,division_used,model_id,policy_id,entry_consensus_amer,best_amer,stake_usd
kyle prepolec|mateusz rebecki|2026-08-01,2026-08-05 18:05:53.503686+00:00,2026-08-01 15:20:00+00:00,kyle prepolec,mateusz rebecki,mateusz rebecki,favorite,none,False,236.2,0.80106,0.85349,1.1192,1.1541,BetWay,1.1876,-533,False,0.8589,-0.03875,0.66707,1.347,0.0,1.0,pinnacle,True,Lightweight,MOV-MKT-2,MOV-HOLD-2,-839,-649,0.0
lucas fernando|rafael tobias|2026-08-15,2026-08-05 18:05:53.503686+00:00,2026-08-15 21:00:00+00:00,lucas fernando,rafael tobias,lucas fernando,favorite,B,True,25.8,0.65987,0.64473,1.4878,1.4878,Caesars,1.4782,-209,False,0.69004,0.02665,0.62872,1.689,0.0,1.0,pinnacle,False,Light Heavyweight,MOV-MKT-2,MOV-HOLD-2,-205,-205,10.0
ludovit klein|tofiq musayev|2026-08-01,2026-08-05 18:05:53.503686+00:00,2026-08-01 16:40:00+00:00,ludovit klein,tofiq musayev,ludovit klein,favorite,none,False,236.2,0.66209,0.69083,1.3821,1.4049,Pinnacle,1.4357,-230,False,0.71047,-0.01806,0.72444,3.229,0.0,1.0,pinnacle,True,Lightweight,MOV-MKT-2,MOV-HOLD-2,-262,-247,0.0
manoel sousa|richie miranda|2026-08-08,2026-08-05 18:05:53.503686+00:00,2026-08-08 21:00:00+00:00,manoel sousa,richie miranda,manoel sousa,favorite,B,True,69.6,0.70191,0.69071,1.3778,1.4,BetWay,1.3713,-269,False,0.74384,0.02489,0.64928,2.059,0.0,1.0,pinnacle,False,Lightweight,MOV-MKT-2,MOV-HOLD-2,-265,-250,10.0
marina spasic|stephanie luciano|2026-08-01,2026-08-05 18:05:53.503686+00:00,2026-08-01 14:05:00+00:00,marina spasic,stephanie luciano,,,excluded_womens,False,,,,,,,,,,,,,,0.0,,,,,MOV-MKT-2,MOV-HOLD-2,,,0.0
mateusz gamrot|quillan salkilld|2026-08-08,2026-08-05 18:05:53.503686+00:00,2026-08-08 21:00:00+00:00,mateusz gamrot,quillan salkilld,mateusz gamrot,underdog,none,False,122.6,0.45408,0.43006,2.212,2.23,BetRivers,2.2151,+122,False,0.46048,0.01858,0.50469,0.789,0.0,1.0,pinnacle,True,Lightweight,MOV-MKT-2,MOV-HOLD-2,+121,+123,0.0
michael oliveira|oban elliott|2026-08-01,2026-08-05 18:05:53.503686+00:00,2026-08-01 16:20:00+00:00,michael oliveira,oban elliott,oban elliott,underdog,none,False,236.2,0.27742,0.20893,4.76,6.75,BetRivers,4.518,+352,False,0.22576,0.07463,0.30156,-2.484,0.0,1.0,pinnacle,True,Welterweight,MOV-MKT-2,MOV-HOLD-2,+376,+575,0.0
milos janicic|noah gugnon|2026-08-01,2026-08-05 18:05:53.503686+00:00,2026-08-01 17:15:00+00:00,milos janicic,noah gugnon,milos janicic,favorite,none,False,236.2,0.5777,0.52689,1.8127,1.9524,BetWay,1.7422,-135,False,0.58548,0.06132,0.54395,0.405,0.0,1.0,pinnacle,True,Lightweight,MOV-MKT-2,MOV-HOLD-2,-123,-105,0.0
neil magny|ramiz brahimaj|2026-08-15,2026-08-05 18:05:53.503686+00:00,2026-08-15 21:00:00+00:00,neil magny,ramiz brahimaj,ramiz brahimaj,underdog,B,True,25.8,0.49777,0.5,1.9091,1.9709,Pinnacle,1.8895,-112,False,0.53983,0.03058,0.71325,4.055,0.0,1.0,pinnacle,True,Welterweight,MOV-MKT-2,MOV-HOLD-2,-110,-103,10.0
tresean gore|vicente luque|2026-08-15,2026-08-05 18:05:53.503686+00:00,2026-08-15 21:00:00+00:00,tresean gore,vicente luque,vicente luque,underdog,B,True,25.8,0.46512,0.45726,2.1,2.2,Pinnacle,2.0857,+109,False,0.48905,0.027,0.60131,2.433,0.0,1.0,pinnacle,True,Middleweight,MOV-MKT-2,MOV-HOLD-2,+110,+120,10.0
