fight_id,pred_delta_live,p_steam_live,pred_qclose_live,p_mkt_live,event_id,event_date,year,fold,movement_spec,f1_name,f2_name,division,selected_side,selected_fighter,selected_odds,selected_p_market,selected_ev,selected_steam_prob,pred_clv_pp,realized_clv_pp,pred_qclose_fav,qfav_opening,qfav_closing,prob_fav_steams,pred_delta_fav,selected_won,unit_return,kelly_raw,result,movement_alpha,direction_C,sel_fav_live,ev_live,steam_sel_live,clv_live,qual_live,qual_ship
267,0.1122620078979151,0.6680791982550021,0.6828696777925649,0.6970861071949258,25,2026-01-24,2026,2026,MOV_MKT_STATS,justin gaethje,paddy pimblett,Lightweight,favorite,paddy pimblett,1.44444,0.7064271630368435,0.0203916513769382,0.714176250832464,3.5187009485356024,2.050514716085205,0.6932623993595168,0.6580753898741608,0.6785805370350129,0.714176250832464,0.1606866846081249,0,-1.0,0.0458816744148551,1,100,0.01,True,0.006899056676638704,0.6680791982550021,2.47942879184041,False,False
268,-0.08785126522629177,0.4022609777092123,0.6414499267019189,0.6501971269676723,25,2026-01-24,2026,2026,MOV_MKT_STATS,sean o'malley,song yadong,Bantamweight,favorite,sean o'malley,1.4386,0.667921979675448,-0.0391274400389004,0.4925021201224123,-0.2680309526243207,-0.1839599795499524,0.6587140321392465,0.6613943416654897,0.6595547418699902,0.4925021201224123,-0.0119453079672308,1,0.4386000000000001,0.0,1,100,0.01,False,-0.017053926779159068,0.5977390222907877,1.99444149635708,False,False
269,0.13065359444785188,0.6929891525940617,0.7361562678330011,0.760404113826177,25,2026-01-24,2026,2026,MOV_MKT_STATS,waldo cortes-acosta,derrick lewis,Heavyweight,favorite,waldo cortes-acosta,1.33557,0.7549472131284551,0.0082848494379708,0.703759280918531,2.5508651486561007,1.8537849806666395,0.7355184874026366,0.7100098359160756,0.728547685722742,0.703759280918531,0.1273725044727648,1,0.3355699999999999,0.0246888858895932,1,100,0.01,True,0.015572922302827141,0.6929891525940617,2.614643191692556,False,False
270,0.010644963785158813,0.5569032902858291,0.6649506476491519,0.6765676210020619,25,2026-01-24,2026,2026,MOV_MKT_STATS,arnold allen,jean silva,Featherweight,favorite,jean silva,1.43103,0.6835532585431106,-0.0218147804270525,0.5919808888823438,1.0271606232460706,-0.6070660327781474,0.6728464995956296,0.6625748933631689,0.6565042330353874,0.5919808888823438,0.0462977202378876,1,0.43103,0.0,0,100,0.01,True,-0.03181143731741931,0.5569032902858291,0.23757542859830227,False,False
272,0.0818025549872267,0.7043680456162406,0.8674445527258975,0.9243935580063142,25,2026-01-24,2026,2026,MOV_MKT_STATS,ateba gautier,andrey pulyaev,Middleweight,favorite,ateba gautier,1.11111,0.9262376085956135,0.0291518692866723,0.8234939333967618,2.1260241021497706,1.2832196069341384,0.8790128523661082,0.8577526113446104,0.8705848074139518,0.8234939333967618,0.1863671863621033,1,0.11111,0.2623694472745237,1,100,0.01,True,0.027102926236395763,0.7043680456162406,0.9691941381287039,False,True
273,-0.01885566774187465,0.49791248906967817,0.6258665495805342,0.633017724151645,25,2026-01-24,2026,2026,MOV_MKT_STATS,nikita krylov,modestas bukauskas,Light Heavyweight,favorite,modestas bukauskas,1.50761,0.6342721887398284,-0.0437649055339474,0.5130508531406999,-0.2453319779401885,-8.115363705365509,0.6278178439660274,0.6302711637454292,0.5491175266917742,0.5130508531406999,-0.0105136176281255,0,-1.0,0.0,1,100,0.01,True,-0.045656148891738524,0.49791248906967817,-0.44046141648950154,False,False
275,-0.01623779305888587,0.5006297447995015,0.6599401216519492,0.6708956174132342,25,2026-01-24,2026,2026,MOV_MKT_STATS,josh hokit,denzel freeman,Heavyweight,underdog,denzel freeman,2.83,0.3372430900149544,-0.0456020552576789,0.5170460012972344,0.9561929433522188,-2.69867587232826,0.6540127449928258,0.663574674426348,0.6905614331496306,0.4829539987027655,-0.0425402844172672,0,-1.0,0.0,1,100,0.01,True,-0.03741238604783981,0.5006297447995015,-0.3634552774398836,False,False
276,0.17871942724660844,0.763171459232667,0.7333387381613318,0.7569685623223724,25,2026-01-24,2026,2026,MOV_MKT_STATS,adam fugitt,ty miller,Welterweight,favorite,ty miller,1.4347826086956523,0.7418054667569676,0.0643295827382579,0.6963933651513172,2.724200322666825,8.93550893550893,0.7242117001963653,0.696969696969697,0.7863247863247863,0.6963933651513172,0.1325410885927685,1,0.4347826086956523,0.1479580402979932,0,100,0.01,True,0.08608532854949091,0.763171459232667,3.6369041191634754,True,False
271,0.166916846855267,0.81000508007894,0.9078879376869179,0.9669513306021417,25,2026-01-24,2026,2026,MOV_MKT_STATS,umar nurmagomedov,deiveson figueiredo,Bantamweight,favorite,umar nurmagomedov,1.0694,0.9617211912750424,0.0284646419495304,0.8806860396123951,1.9905137628063008,0.6496161988883808,0.9128516609427764,0.8929465233147135,0.8994426853035973,0.8806860396123951,0.2277634766642997,1,0.0693999999999999,0.4101533422122551,1,100,0.01,True,0.034057752945930275,0.81000508007894,1.494141437220442,False,False
258,0.057363520756402525,0.6682578289645096,0.8527596047854246,0.9068331914211514,24,2026-01-31,2026,2026,MOV_MKT_STATS,quillan salkilld,jamie mullarkey,Lightweight,favorite,quillan salkilld,1.14286,0.9068672962114644,0.0364223581482341,0.7597746482511224,1.6793501388618348,2.777584769307728,0.8622038026793232,0.8454103012907048,0.8731861489837821,0.7597746482511224,0.1346683390561854,1,0.14286,0.2549514080094788,1,100,0.01,True,0.03638338114757711,0.6682578289645096,0.7349303494719739,False,False
